"ID";"X3.Forest_1985";"X5.Mangrove_1985";"X6.Floodable_Formation_1985";"X33.RiverLakeOcean_1985";"X41.OtherTemporaryPond_1985";"X12.Grassland_1985";"X29.RockyOutcrop_1985";"X15.Pasture_1985";"X24.UrbanArea_1985";"X25.OtherNonVegetable_1985";"X0.x";"X30.Mining_1985";"X4.Savanna_Fomation_1985";"X11.Wetland_1985";"X21.MosaicOfUse_1985";"X3.Forest_2000";"X5.Mangrove_2000";"X6.Floodable_Formation_2000";"X30.Mining_2000";"X33.RiverLakeOcean_2000";"X12.Grassland_2000";"X29.RockyOutcrop_2000";"X15.Pasture_2000";"X24.UrbanArea_2000";"X25.OtherNonVegetable_2000";"X41.OtherTemporaryPond_2000";"X4.Savanna_Fomation_2000";"X11.Wetland_2000";"X21.MosaicOfUse_2000";"X39.Soybean_2000";"X9.ForestPlantation_2000";"X0.y";"X3.Forest_2015";"X5.Mangrove_2015";"X6.Floodable_Formation_2015";"X30.Mining_2015";"X33.RiverLakeOcean_2015";"X11.Wetland_2015";"X12.Grassland_2015";"X29.RockyOutcrop_2015";"X0.x.x";"X15.Pasture_2015";"X24.UrbanArea_2015";"X25.OtherNonVegetable_2015";"X41.OtherTemporaryPond_2015";"X4.Savanna_Fomation_2015";"X21.MosaicOfUse_2015";"X39.Soybean_2015";"X9.ForestPlantation_2015";"X3.Forest_2024";"X5.Mangrove_2024";"X6.Floodable_Formation_2024";"X30.Mining_2024";"X32.Hypersaline_2024";"X33.RiverLakeOcean_2024";"X12.Grassland_2024";"X29.RockyOutcrop_2024";"X15.Pasture_2024";"X24.UrbanArea_2024";"X25.OtherNonVegetable_2024";"X39.Soybean_2024";"X4.Savanna_Fomation_2024";"X11.Wetland_2024";"X21.MosaicOfUse_2024";"X41.OtherTemporaryPond_2024";"X9.ForestPlantation_2024";"X0.y.y";"latitude";"longitude";"morfotipo"
"105";3416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2673;0;0;0;0;0;0;0;0;743;0;0;0;0;0;0;0;1823;0;0;0;0;0;0;0;1546;0;0;0;0;0;0;47;0;0;"-5,4952";"-56,7452";"yellow"
"106";3410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2256;0;0;0;0;0;0;0;0;1154;0;0;0;0;0;0;0;662;0;0;0;0;0;0;0;2742;0;0;0;0;0;0;6;0;0;"-6,3743";"-55,79677";"white-spotted"
"107";3461;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3461;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2694;0;0;0;0;0;0;0;0;767;0;0;0;0;0;0;0;1753;0;0;0;0;0;0;0;1708;0;0;0;0;0;0;0;0;0;"-6,2729";"-55,6612";"white-spotted"
"108";161;0;775;1059;0;0;0;51;0;0;0;0;0;1424;0;161;0;618;0;1903;0;0;75;0;0;0;0;713;0;0;0;0;161;0;685;0;1400;1194;0;0;0;30;0;0;0;0;0;0;0;167;0;537;0;0;1231;0;0;0;0;0;0;0;1535;0;0;0;0;"-6,2391";"-55,8306";"white-spotted"
"109";2200;0;0;0;0;385;926;0;0;0;0;0;0;0;0;2200;0;0;0;0;382;929;0;0;0;0;0;0;0;0;0;0;1974;0;0;1424;0;0;10;103;0;0;0;0;0;0;0;0;0;1605;0;0;1905;0;0;1;0;0;0;0;0;0;0;0;0;0;0;"-6,1714";"-55,7629";"white-spotted"
"110";263;0;0;0;0;222;2966;4;0;0;0;0;66;0;0;202;0;0;0;0;201;2974;64;0;0;0;64;16;0;0;0;0;180;0;0;0;0;14;212;2997;45;11;0;0;0;62;0;0;0;152;0;0;0;0;0;134;2978;173;0;0;0;56;0;0;0;0;28;"-3,7028";"-52,308";"orange"
"111";3371;0;0;0;0;149;0;0;0;0;0;0;0;0;0;411;0;0;0;0;165;0;2941;0;3;0;0;0;0;0;0;0;347;0;0;0;0;0;164;0;0;3009;0;0;0;0;0;0;0;611;0;0;0;0;0;161;0;2723;0;0;0;0;0;0;25;0;0;"-3,4662";"-51,6984";"yellow"
"112";3500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"-6,4082";"-50,3097";"black"
"113";3485;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3480;0;2;0;5;0;0;0;0;0;0;0;0;0;0;0;0;3478;0;2;0;7;0;0;0;0;0;0;0;0;0;0;0;0;3228;0;2;0;0;25;0;0;232;0;0;0;0;0;0;0;0;0;"-6,2729";"-48,4468";"orange"
"114";3489;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3489;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3489;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3489;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"-6,1038";"-48,379";"orange"
